Expected,Predicted_cc_full,Predicted_cc_small,Predicted_visual_coco,Predicted_vil_coco,Predicted_vqa,Predicted_votinglabel_3model,Predicted_votinglabel_5model,Predicted_votingmean_prob_5model,Predicted_votingsum_prob_5model,Predicted_votingmean_prob_3model,Predicted_votingsum_prob_3model
1,0.060455948,0.208161533,0.414503455,0.001172727,0.13906236,0.001172727,0.001172727,0.164671205,0.033787661,0.15871071,0.114281372
1,0.700447738,0.739821613,0.703645647,0.937560737,0.78506881,0.937560737,0.937560737,0.773308909,0.93895115,0.780551374,0.8433421
1,0.048771452,0.251272947,0.092935123,0.004306347,0.128873438,0.004306347,0.004306347,0.105231861,0.018933983,0.048670974,0.062504456
1,0.043255117,0.081862748,0.017593145,0.001001455,0.116000175,0.001001455,0.001001455,0.051942528,0.01120004,0.020616572,0.053337623
1,0.476176947,0.473745674,0.840286255,0.166813955,0.350767493,0.166813955,0.166813955,0.461558065,0.405061447,0.494425719,0.491639358
1,0.708490849,0.436792821,0.979111135,0.919614732,0.226304233,0.979111135,0.979111135,0.654062754,0.823555932,0.869072239,0.901538171
1,0.543021858,0.587946117,0.155240461,0.095695794,0.660944998,0.095695794,0.660944998,0.408569846,0.286120415,0.264652704,0.195905598
1,0.912138462,0.63102746,0.999322295,0.998185575,0.827832341,0.999322295,0.999322295,0.873701227,0.97672925,0.969882111,0.943709503
1,0.846405804,0.527246594,0.422120988,0.968996882,0.461598307,0.968996882,0.968996882,0.645273715,0.810419327,0.745841225,0.813823346
1,0.690917552,0.476330549,0.002010542,0.212467372,0.143555775,0.002010542,0.002010542,0.305056358,0.124614824,0.301798489,0.233400423
1,0.526850581,0.358755589,0.990447164,0.716187358,0.248263374,0.990447164,0.990447164,0.568100813,0.663963664,0.744495034,0.812596435
1,0.712281168,0.720652342,0.181864008,0.917569876,0.808872342,0.917569876,0.917569876,0.668247947,0.843232575,0.603905017,0.650998269
1,0.880808949,0.549813747,0.008919768,0.493793756,0.403607249,0.008919768,0.008919768,0.467388694,0.419186675,0.461174158,0.442023191
1,0.757348835,0.574881971,0.992667496,0.998742402,0.072415069,0.998742402,0.998742402,0.679211155,0.857185963,0.916252911,0.923967602
1,0.158304662,0.580126584,0.990585864,0.998395503,0.071635313,0.998395503,0.998395503,0.559809585,0.645220546,0.715762009,0.784920052
